rank,team,played,wins,draws,losses,goals-for,goals-against,goals-dff,points,Notes
1,Manchester United,38,24,8,6,79,31,48,80,2001–02 UEFA Champions League Group stage
2,Arsenal,38,20,10,8,63,38,25,70,
3,Liverpool,38,20,9,9,71,39,32,69,2001–02 UEFA Champions League Third qualifying round 1
4,Leeds United,38,20,8,10,64,43,21,68,2001–02 UEFA Cup First round 1
5,Ipswich Town,38,20,6,12,57,42,15,66,
6,Chelsea,38,17,10,11,68,45,23,61,
7,Sunderland,38,15,12,11,46,41,5,57,
8,Aston Villa,38,13,15,10,46,43,3,54,2001 UEFA Intertoto Cup Third round
9,Charlton Athletic,38,14,10,14,50,57,-7,52,
10,Southampton,38,14,10,14,40,48,-8,52,
11,Newcastle United,38,14,9,15,44,50,-6,51,2001 UEFA Intertoto Cup Third round
12,Tottenham Hotspur,38,13,10,15,47,54,-7,49,
13,Leicester City,38,14,6,18,39,51,-12,48,
14,Middlesbrough,38,9,15,14,44,44,0,42,
15,West Ham United,38,10,12,16,45,50,-5,42,
16,Everton,38,11,9,18,45,59,-14,42,
17,Derby County,38,10,12,16,37,59,-22,42,
18,Manchester City,38,8,10,20,41,65,-24,34,Relegation to 2001–02 Football League First Division
19,Coventry City,38,8,10,20,36,63,-27,34,
20,Bradford City,38,5,11,22,30,70,-40,26,
